HINDUNILVR_Close,ICICIBANK_Close,LT_Close,BHARTIARTL_Close,INFY_Close,ITC_Close,HDFCBANK_Close,SBIN_Close,RELIANCE_Close,TCS_Close
1696.5,504.7,773.025,339.8,10575.2,1266.5,638.0,833.1,1580.9,1477.0
1724.5,505.5,770.45,343.4,10436.6,1287.5,631.9,846.8,1582.3,1456.8
1686.0,503.65,767.025,343.95,10615.8,1276.0,630.85,849.5,1571.4,1469.75
1722.0,515.1,787.675,352.35,10724.2,1301.0,635.2,870.95,1590.8,1482.65
1707.5,526.9,775.7,356.65,10610.8,1283.0,675.75,882.15,1596.9,1510.3
1689.0,533.1,781.775,360.15,10962.8,1305.5,689.95,896.15,1634.9,1511.7
1696.5,545.4,785.5,360.85,10828.2,1302.0,698.85,911.9,1658.6,1507.65
1726.5,538.65,779.825,359.75,10857.6,1308.0,699.35,910.2,1652.3,1526.95
1704.0,522.4,774.85,352.8,10708.0,1267.5,679.65,892.7,1658.1,1518.65
1694.5,519.95,785.35,352.9,10706.2,1251.0,677.5,875.15,1638.6,1499.85
1723.0,527.9,792.825,353.0,10732.6,1294.0,689.5,896.9,1664.0,1516.65
1769.5,538.85,799.45,357.95,10803.8,1349.5,691.1,901.3,1688.2,1524.25
1867.0,544.7,819.6,363.9,10962.0,1367.0,697.65,907.15,1685.3,1533.7
1856.5,540.65,846.875,373.2,10979.8,1362.0,691.55,910.7,1691.8,1538.85
1917.0,539.0,856.6,372.0,11033.6,1392.5,695.7,933.6,1695.8,1547.65
1876.5,536.9,856.4,367.45,10944.0,1369.0,684.9,916.05,1696.3,1545.35
1821.0,538.05,842.575,356.95,10737.8,1345.0,686.9,896.65,1665.4,1521.1
1859.5,540.55,882.625,360.95,11071.6,1358.0,696.75,913.35,1679.1,1550.1
1856.0,544.2,882.1,357.85,11364.8,1375.0,698.7,910.4,1678.8,1550.0
1876.0,532.75,859.8,347.55,11149.6,1342.0,687.4,892.5,1680.5,1531.35
1856.5,529.9,865.05,341.35,11175.8,1335.5,680.95,880.0,1673.5,1554.0
1879.5,542.45,856.9,345.95,11207.4,1355.5,694.0,886.5,1686.9,1595.55
1880.0,540.2,846.15,351.55,11285.2,1353.0,688.25,886.65,1692.3,1616.55
1889.5,549.3,853.225,355.5,11494.2,1368.5,688.0,898.45,1726.7,1682.7
1863.0,561.65,873.1,350.8,11704.2,1384.5,687.55,909.35,1726.4,1650.2
1885.0,562.4,886.625,353.35,11787.8,1417.0,694.8,926.5,1743.2,1667.6
1876.0,571.6,864.9,349.95,11542.2,1441.0,718.6,929.7,1723.9,1683.9
1871.0,562.45,867.575,348.15,11670.6,1403.5,703.9,897.5,1690.5,1682.8
1883.5,586.55,855.075,350.1,11929.2,1411.0,700.85,922.2,1698.7,1714.4
1954.0,584.85,864.675,359.35,12095.0,1448.0,711.6,942.4,1714.3,1734.55
1945.5,575.05,874.175,357.3,11880.8,1434.5,735.45,932.2,1709.1,1693.5
1956.0,575.1,876.75,356.55,11896.6,1416.5,726.95,907.75,1720.3,1686.1
1951.0,573.55,866.25,357.25,11931.2,1420.5,742.15,911.25,1711.9,1684.7
1931.0,581.05,875.85,351.55,11924.6,1393.5,720.3,892.75,1685.8,1671.75
1889.5,559.55,875.65,333.1,11803.6,1375.5,708.4,868.8,1665.4,1662.9
